,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40
0.5,59.55163893,56.732447261666636,53.87465310875,49.637781087,49.39044570083334,52.78971783214283,51.103192373125,50.0411710894444,49.357175503,50.6573231959091,51.255957382499965,49.265736463461536,50.66196752785716,47.494748868333296,49.7903030121875,51.116828722058855,50.4699526025,53.068577570526315,54.2845789
1,64.78276147,60.9544875933333,58.18210903,53.35147836,52.09021751999997,54.715502785714314,53.9395448625,53.03254675222223,51.485881203,51.660500994545444,52.50003261750003,51.7477416053846,51.03124287571424,48.81410071266669,50.639428326250005,51.56321564058827,51.483738528333284,53.198230334736806,54.2845789
1.5,68.2573877925,64.0394278666667,60.95835189625,58.304856833,54.4912411808333,55.472055944285756,55.729869465,54.109774061666634,53.259533122,52.81696180772724,53.7552133483333,52.383631283076895,51.85905545392851,50.8735855136667,51.719790425937504,52.65725018911767,51.8442840505556,53.760066092631575,54.2845789
2,71.40649225,65.88789328,63.235765185000005,59.336462916,56.69723187333334,57.399268414285736,56.745080882500005,56.050163497777824,54.17126301,53.54137631999996,54.70772765166663,52.78212026923074,52.56929215714287,52.11113551733334,52.3612810525,52.980702391764666,52.45296223777778,54.00837049263156,54.2845789
2.5,73.362357,69.10065869166671,65.92464044375,61.023787014999996,58.95909455833336,58.51103894642857,57.637111653125004,57.362351311111134,54.644024282500006,54.46552041363637,55.16125472291664,53.764135763461525,53.03144121071427,52.4992363833333,52.603796896875,53.13795178823532,52.83263455277778,54.26712601315788,54.2845789
5,83.16402165000001,76.75940744999994,72.5386646875,67.57592698,63.18196992500003,62.56280630000003,60.5288166,59.71712961111114,57.24389799,57.027782154545456,56.817876633333306,55.612098165384616,54.922045621428545,54.137535746666636,54.055958981249994,54.081618541176425,54.024490874999955,54.84976713947371,55.4123644
10,94.95024790000001,85.93727633333333,79.697906625,73.84677828,68.50388115000003,66.85388474285712,64.185248425,62.86804469999996,60.16274986,59.61177092727269,59.0199589083333,58.10686993846155,56.69319985714282,56.0408349333333,55.65226165,55.46353820588233,55.21746470000001,55.837814452631555,56.48645915
25,117.1145695,99.731226,91.26202831250001,82.82272965,77.00967645833333,74.51661007142854,71.12115046875,68.61360724999997,65.745596325,64.20765418181819,63.073907145833324,61.96499223076925,60.4479038035714,59.41213671666665,58.664014656250004,58.26888699999998,57.44580527777777,57.42247743421052,57.36233425
75,160.6318945,134.72981250000026,116.52460793750001,103.2100509,95.15411050000003,89.91017489285716,84.598715125,81.27902175,77.83188472500001,75.37897890909092,72.80188106250003,70.56972513461535,68.44016050000002,66.78922973333334,65.109416984375,63.43397238235298,62.255945499999974,60.81335517105265,59.07273175
90,186.1143805,150.1245230333336,127.80272275,112.35971898000001,103.8922689000003,96.97188611428575,91.20955297500001,87.16124705555559,82.90941317000001,79.34153112727269,76.67096938333333,74.18102074615382,71.4391324142857,69.71187024,67.58844898125,65.62288359411768,64.04498227777779,61.92136957368419,59.66143685
97.5,189.428856,164.592894333333,139.14955153125,124.07533171499999,112.64415008749967,104.95052003571443,98.88463740312501,93.97666051111113,88.169693845,85.09579126818184,80.41909611041667,77.71348843653843,74.9376694196428,72.6408032683333,69.94722120624999,68.27023183676472,65.98921369861115,63.212460528947375,61.04284095
98,189.428856,165.954597666667,139.96787547999998,125.2701264,113.29780244333334,105.41863018571414,99.5829520925,94.98847555777776,89.75440309199999,85.83306434181817,81.23108457333332,78.14993259538466,75.5525747785714,73.07351179199996,70.31189830749999,68.62032808705887,66.30998518222218,63.41349960947367,61.04284095
98.5,194.822724,168.854327666667,141.48007088749998,126.07930207599999,114.493806001667,107.02129440714315,100.57641480625,96.22076127777774,90.6790176,86.90070626090906,81.94210316833329,78.63076614961541,76.21847553178567,73.48105660066669,70.690735684375,68.92898159764705,66.4833991325,63.644506084999996,61.04284095
99,194.822724,170.231958,143.3319475,128.06918319399998,116.043718801667,110.22096873285743,101.08142308000001,98.03994478888889,91.255156118,87.42515106090904,82.5508788483333,79.0750206984615,76.50805655,73.87207514333333,71.61041861312499,69.1885996282353,66.73599016055552,63.73083130210527,61.04284095
99.5,194.822724,177.750528,150.80297065624998,131.498240146,117.91619727500033,113.10944362000014,102.906118914375,99.17076493722217,92.416759671,88.21281766909085,84.73109710416666,80.31645851538462,77.42015776785713,74.74847858099999,72.09092691375001,69.58066883117642,67.9052425861111,64.28150827473686,61.04284095
Median,138.40029025,117.28720233333351,102.85580150000001,93.4156196,86.15423475,82.3672862142857,77.3731631875,74.74797583333336,71.98196305,70.1279484090909,67.85780766666664,66.3116262307692,64.59742657142854,63.21885803333335,61.91448846875,60.93916664705885,59.773111972222196,59.165717210526296,58.3794223
Mean,137.8247641805,117.13004125166668,103.376929717,93.1483444796,86.18640535466668,82.16322156542857,77.67154564100001,74.89024821066666,71.75545994520002,69.78672589209091,67.87497800683333,66.18969324676922,64.36720915021428,63.01017738913334,61.7813722479375,60.77105971411764,59.74775411244444,59.02646191899999,58.21088631194999
