,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40
0.5,218.53183873,296.77439545500005,394.7455876,487.750041155,578.67793375,668.4433692,730.55966932,799.3062228,895.4141511,956.81854744,1020.71070267,1091.35498484,1158.2896096099998,1214.42158765,1290.42370404,1371.26555956,1438.71182667,1504.2455463049998,1610.772202
1,231.35281952,322.94578636,419.38505681000004,503.84936851,593.75899757,675.9391838099999,741.14246768,821.00973163,899.89382567,963.214397,1032.90026934,1110.4804901000002,1176.38406336,1231.40655091,1320.6369084799999,1383.10669602,1445.63264387,1522.69297165,1610.772202
1.5,238.04307218,339.78684102,427.17354929,509.07695579,614.007882075,680.9818880199999,764.23477063,829.81715629,910.28379627,977.0767345700001,1039.2305501950002,1117.321800965,1187.2924943350001,1244.7817101449998,1323.2342361449998,1392.790723385,1459.04676363,1530.460652535,1610.772202
2,241.13361138,344.19353128,434.66062956,517.2196055,618.6892607,687.21490908,772.62883454,835.7731311199999,914.93912354,983.5900418399999,1050.0924106,1124.22206452,1192.5737466,1254.29856978,1332.42644116,1399.52652454,1464.79965066,1540.4845801800002,1632.8767978
2.5,243.571763175,348.32359345000003,438.192649425,527.48000615,621.3295146,695.07383215,779.102733375,842.84931985,920.1113051000001,989.9557974749999,1056.791197425,1127.8016037,1199.1998693,1263.938219525,1338.439823225,1404.1228054500002,1467.979220925,1542.4867893,1633.327912
5,259.53237785,365.0062073,455.134665,548.2114755,641.55366025,712.44398445,797.6018374500001,870.3230637,939.75569205,1011.4131231,1081.8081113,1141.967862,1215.5521588,1287.0939388000002,1357.4286639499999,1422.63118695,1488.1764849,1554.7665894499999,1634.477507
10,277.157892,380.2922531,481.4006094,571.4630685,664.3718766000001,740.413713,819.0348473,887.3813705,964.4841056,1032.2681215,1107.3760539999998,1171.2307843,1235.2854851,1304.3965675,1377.6635121,1439.0275668,1504.9804512,1572.9582324,1654.809807
25,308.643762,416.82487775000004,521.94452575,611.24648675,702.63043575,779.47281675,856.54210775,932.260268,1004.757852,1072.2539052500001,1140.9784005,1212.7255005,1276.767772,1342.65027375,1409.1017917499998,1476.13231075,1535.538604,1601.19160475,1672.327309
75,363.975226,485.25163024999995,593.59375375,690.48002875,782.43451725,864.73347275,946.67899575,1021.8261082500001,1098.236007,1167.3349975,1231.4860335,1295.523221,1361.7925782500001,1427.60001425,1488.35427875,1543.07722475,1596.517401,1650.6688055,1698.672913
90,384.25158,509.880536,624.0718389,727.7683592000001,819.3228478999999,901.9948448,982.8451724,1063.2879475,1130.5149511,1206.1739538,1268.0885039,1335.9884545,1396.7597108,1458.5594279,1514.6010391,1568.1137427,1617.6623663,1666.0901471,1703.899388
97.5,396.274399,540.801179,656.71933975,764.8753555,854.909827525,936.3342207249999,1024.296049725,1104.7982426,1173.418947875,1241.805289775,1301.933061975,1368.4254308,1429.7612024999999,1488.0026653,1538.164532875,1591.011315175,1640.969896425,1682.85479,1710.885276
98,396.274399,545.072909,663.7937276800001,771.1183875199999,858.2768124199999,945.9485065,1027.6283963199999,1106.0784371,1178.36899724,1246.67786026,1306.20752774,1372.4372493600001,1438.53339036,1491.9614243199999,1541.79990152,1597.57596446,1643.98442592,1683.96570794,1710.885276
98.5,396.274399,545.072909,670.439453885,774.34100046,863.8660512949999,952.1931616100001,1038.516136725,1115.816307095,1180.271147755,1250.481396445,1317.0568529299999,1382.72221644,1442.379501215,1501.90607742,1543.6598295249999,1599.70954318,1646.24452,1686.615103,1710.885276
99,396.274399,549.556889,677.08773119,780.9581113,881.37229997,957.3148284,1041.9417895499998,1122.97206956,1185.3436430900001,1261.96882346,1321.48811039,1389.46915597,1449.1507527899998,1511.78741996,1550.6265974399998,1604.73262123,1647.42463813,1689.19092899,1710.885276
99.5,396.274399,560.156889,687.8697600249999,789.093638835,893.247692445,965.67284511,1049.9870340799998,1129.8547361849999,1196.18846279,1278.199298555,1329.5952831700001,1400.018152745,1464.56086121,1518.0247748699999,1554.92653163,1610.571401765,1653.79201197,1692.3534522300001,1710.885276
Median,334.0661455,451.831194,559.996198,652.5716990000001,743.2068135,822.5733685,902.444422,976.0268635,1050.36431,1120.513548,1185.747712,1254.987197,1320.2401375,1383.896603,1452.742174,1512.776466,1567.3382595,1628.619964,1684.528311
Mean,333.125129533,449.081643287,555.909681187,650.6921312469999,742.251278348,821.3142495230001,901.4197985919999,976.547752429,1049.4772116550002,1120.894605795,1185.579467546,1253.948371913,1318.012907325,1383.606535291,1448.041863773,1508.1096751040002,1563.792543486,1623.977772821,1682.308267038
