,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100
0.5,34.50994329119521,32.44225764847549,29.59054570212525,27.454646936264563,24.87884109922135,24.02091948948743,22.87650402520755,22.222502529598458,22.90969424579467,21.259494288011474,21.09582694146743,21.28378284440405,21.280123792417694,21.53106475097783,20.900867936546952,20.523261954359565,21.47619842341035,21.474124860382208,21.92941861004617
1,37.401071514913816,33.9487176846356,32.57612691004046,29.807305417655616,26.20450088395472,24.57497583014819,23.650048959157076,22.726874467262363,23.548825844866535,22.228578514274243,21.930414564110947,22.12503670718001,21.777423427813655,22.12200881466113,21.51883609024571,20.968916227458863,21.759158773776985,21.822834580412753,22.08941047416644
1.5,40.55238649848312,35.37770745222555,33.65998286075959,30.708028677603497,27.34410534645238,25.914041386252762,24.86523329782036,23.26751785478786,24.011151490256193,22.865193564857837,22.584435694207667,22.292931731329006,22.40889309462185,22.33162528605251,21.907132758993864,21.5198151297893,22.188139401804747,22.133346676875256,22.18334617251844
2,43.02390892701092,35.90110863251447,34.346201556593186,31.191601598351674,28.200133555725856,26.791503536081432,25.390960444138212,24.817232414603698,24.365542572853975,23.671449149130122,22.769403446050337,22.531276714652172,22.560303432746455,22.501512823551447,22.024828509297794,21.78340967830835,22.329953507042447,22.406064098658526,22.64694709482638
2.5,44.542093749144506,36.62865277292712,34.77459310629523,31.629474217061475,28.853860802389143,27.345530346140094,25.658253154449753,25.29489725773853,24.79907295534255,24.20084320772866,23.136363300887396,22.841070841323187,22.7172619650695,22.707835654121432,22.253606993508217,22.195722717898384,22.443790188679532,22.545734815191608,23.34798510606745
5,48.1664860321662,41.146910976051444,36.438772858042775,34.002062328711595,31.07543075890446,28.90079475542624,27.503643951073816,26.299844664797135,26.00756517390716,24.991600227004547,24.198332060619997,23.978577381630057,23.67922675230469,23.561773375120953,22.91638595242614,22.843801580989712,23.201769133431352,23.1005158341477,23.91724465417145
10,54.44317609718298,44.53010538690384,39.724169944672695,36.35555017148976,32.98879295674181,31.03522209297232,29.71849832865569,27.75472530508285,27.22477088342892,26.41089311876417,25.48588159265111,25.30419834381411,24.630076090963772,24.60343321269225,23.99164847528953,23.87123648469107,24.060571989028222,24.1342955172376,24.318947873124998
25,64.6389319862926,52.819706960873276,46.41676050010868,41.1582677972451,37.1247196388737,34.52489917284425,32.96880444593185,30.65364244729795,30.17706380337605,28.77058854652735,28.0769135129305,27.368401326815675,26.788751901695623,26.570809285028147,25.809192113143574,25.706238831175476,25.377278443826025,25.105335110172476,24.980158602860676
75,90.9417922261482,70.12670367234546,60.662609827658045,53.48550248607478,48.006649904582005,43.607052521373625,41.26149156425705,38.48125326879475,36.39919124743585,34.67372660048058,33.42199527084365,31.925555885484048,30.956556032693676,30.136393594488126,29.086251735957426,28.213032172002976,27.339411091945898,26.4335424968594,25.4379155015092
90,103.2440534463704,79.2128333061498,67.5044518183911,60.01467110608739,53.09413567878073,48.34530263408598,45.00839427008804,41.25461544479312,39.477151384558105,37.1812765993641,35.3230051350561,33.680219197243574,32.39815670495133,31.487294161648833,30.165271869835852,29.19172773824246,27.954805260218688,26.88061771400202,25.7061220305918
97.5,120.947118825263,92.52829181738223,74.81186053772394,65.98474641036681,58.478083459770815,52.739489895498984,48.60151089363222,44.27717303729772,42.11866350666321,39.80430931715722,37.5120024477345,35.49417736130688,34.0549224277523,32.485203909037466,31.12425842417835,30.004720870387114,28.766538038777917,27.366966420402157,26.01803237560301
98,122.71812312302318,94.0975369437515,76.74968529952291,67.05285736550506,59.056160747037204,53.281091375057436,48.90539624578785,44.69345856103585,42.50584133526556,40.15867511383302,37.70868579728067,35.57281274415704,34.177514716759845,32.58761606655927,31.226789417777418,30.02536848032514,28.83488566023441,27.414161893238507,26.085784217120903
98.5,125.33267739027563,96.15094707001828,77.10622208274586,67.79626303816558,59.5542505653892,53.90003566663755,49.6808487480248,45.54779377139034,43.118488252442624,40.87496883411699,37.95928397641789,35.82878708784493,34.37192157405965,32.784677466682325,31.475165502512223,30.136134430221187,28.920416150926513,27.487982090869384,26.13051064600102
99,130.79858310065632,97.43958455115197,78.77565624501526,68.48476505606486,61.016083494631594,55.001324195136604,50.17481308217666,46.36285905083988,43.77050473979504,41.40140811478269,38.360745132790065,35.97537687421369,34.6255545004999,33.05756895894218,31.532523059483722,30.377403027361517,29.15278135316404,27.67237583429451,26.159300565732714
99.5,146.3329129795799,101.95018334891739,81.94609833857848,70.5715066859522,63.12695142888366,56.02874002432628,51.28033080689088,47.98981536725093,44.075657904214914,41.775769544794116,39.0901764379447,36.941471804635555,35.00062236862211,33.640320924105005,31.814917931226482,30.59556877301862,29.377944430466627,27.88020941875378,26.20790931632879
Median,78.0401525322888,61.261244271303255,52.92715177753375,46.68503973086435,42.20945396684695,38.7110512540341,36.7267040579206,34.4096982617324,33.388275308040704,31.70071466578565,30.83112148308165,29.83640946286455,29.0398815562137,28.452036204718,27.67490084106445,27.246943696016203,26.5317764187064,25.84352358499745,25.2172375515275
Mean,78.5456157279722,61.96146135992689,53.485544822449185,47.47241304414801,42.731856515675176,39.22356462555689,37.08119870693233,34.5149765366888,33.385971082952345,31.744806746030196,30.68428598628286,29.617885855885632,28.803106020792036,28.23268235520352,27.3551743539716,26.840736761753643,26.255876657039217,25.63699078622102,25.105069948051934
