,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,119.99989835618054,127.91183936171839,132.86635044319655,136.03018881201922,137.27711901804486,138.53896859595548,139.57250421276655,139.96573365668505,140.7340215788076,140.8787484483525,141.50031224822223,141.85879715715404,142.34835441581316,143.355444719068
1,125.33862019194669,129.2714981240732,134.78527216896993,136.6397719096441,138.2876516683688,139.0276492968132,139.75999299926022,140.13830040421428,140.8956343860684,141.21256240495515,141.67336096133127,142.04189206951304,142.37297565899456,143.355444719068
1.5,127.47180164382179,132.12705995689086,135.76285857065884,137.28126539886475,138.5821761584614,139.6057197702163,140.05646868982154,140.24256606080607,140.97575483876983,141.35191085515422,141.7828650675814,142.16407642405198,142.40139301404503,143.355444719068
2,128.38354563540796,133.08526257069514,136.7207942548588,137.52303757074753,138.91375557825572,139.92500091840697,140.44138584760813,140.4610673329316,141.04632209253995,141.51536413304194,141.84788969943557,142.2781898287571,142.50315144897783,143.355444719068
2.5,129.19826427045476,133.78995553876712,137.1587484683299,137.7659189439099,139.04638432097377,140.0280608353024,140.52463436518062,140.61720387427962,141.15545017853924,141.56953956307348,141.9031605695011,142.3056527433137,142.54509532470746,143.355444719068
5,131.6334762585033,135.56167842418344,138.2480325891467,139.18084714741985,139.7795540399329,140.64050256469676,140.94173482951228,141.0794941229275,141.46551378100142,141.82586867936212,142.1659902383234,142.4396814106883,142.7486993423237,143.355444719068
10,135.79179371016238,137.4929584004801,139.7536592081644,140.2951310136609,140.6060291009509,141.3757098238112,141.4795485066261,141.6761016958309,141.91628393334258,142.2348954943767,142.4133736173946,142.6542828961749,142.905467973199,143.355444719068
25,140.20736376351024,140.912425550756,141.633043906511,142.08482592661625,141.998598353152,142.382812741985,142.492964595317,142.52036665304473,142.65590115243248,142.89900898982324,142.85833670559526,143.0073845412875,143.152357152471,143.355444719068
75,147.5719350637745,146.22900830993626,145.55829035676726,145.1117463589915,144.73162082419174,144.56563185724576,144.34688066645975,144.13991292238927,144.00493951410274,143.96352516195,143.79668302306075,143.746287668799,143.6538367802175,143.355444719068
90,149.9493749365619,147.803589460737,146.9932893946112,146.2462755605541,145.7533416044802,145.42828612748602,145.0384093910185,144.8933018795301,144.5746834267851,144.3815303257301,144.2274026926177,144.01460495225,143.82335978304621,143.355444719068
97.5,152.23585081887083,149.50996524453592,148.25939828431018,147.3032497442179,146.86377470863894,146.22363421595614,145.84600834956532,145.46543977460664,145.1666033098128,144.86797202239262,144.54925912525727,144.28472989538514,143.94150160605327,143.355444719068
98,152.66868838564014,149.6232391720512,148.55053472248798,147.4930428766892,147.09350211691782,146.3702183771633,145.88558945378105,145.59259313623082,145.28367397583668,144.9324139531734,144.57459224214855,144.32705620372968,143.9525916432796,143.355444719068
98.5,152.82871462278834,149.95276016150498,148.65074581775644,147.82867219457773,147.22133594977052,146.53941736349114,146.05267878010173,145.72778302727704,145.32474375208355,144.96948973938387,144.61692103440683,144.3856531926446,143.966537975783,143.355444719068
99,153.33255187767335,150.43577012353387,148.891435215328,148.02863943410546,147.38301883198022,146.62873803857352,146.09056529885657,145.9107719096724,145.3863804768274,145.0463393466568,144.65620105875084,144.40838338683258,143.991602971574,143.355444719068
99.5,153.85520089499306,151.05833058371144,149.46488412993514,148.27894787087084,147.8707447461492,146.89840971004446,146.2654487540549,146.26332136360506,145.52117701292707,145.19739001218636,144.8843398587479,144.44476903983397,144.00771502420776,143.355444719068
Median,144.3902275529185,143.77991661925802,143.7864893632165,143.513379408219,143.4268472251095,143.4730700170325,143.417189924372,143.4191975112155,143.33765995319698,143.4168932589315,143.3045724755085,143.40818571659202,143.40278649081898,143.355444719068
Mean,143.451388177373,143.18771686442722,143.44290704253655,143.4019897909255,143.29757884068235,143.41684581946117,143.34759226063417,143.30996019439746,143.30894596600032,143.36804743276073,143.30771008784902,143.36506584718842,143.37673770114864,143.35544471906795
