"","name"
"1","Acalypha"
"2","Acamptopappus"
"3","Acanthomintha"
"4","Acer"
"5","Adenophyllum"
"6","Adenostoma"
"7","Aesculus"
"8","Agoseris"
"9","Agrostis"
"10","Aliciella"
"11","Alisma"
"12","Allenrolfea"
"13","Allionia"
"14","Allium"
"15","Allophyllum"
"16","Almutaster"
"17","Alnus"
"18","Alopecurus"
"19","Aloysia"
"20","Amaranthus"
"21","Ambrosia"
"22","Amorpha"
"23","Amsinckia"
"24","Androsace"
"25","Anemone"
"26","Anemopsis"
"27","Angelica"
"28","Anisocoma"
"29","Anulocaulis"
"30","Apocynum"
"31","Aquilegia"
"32","Arabis"
"33","Aralia"
"34","Arbutus"
"35","Arctostaphylos"
"36","Aristida"
"37","Aristolochia"
"38","Arnica"
"39","Artemisia"
"40","Asclepias"
"41","Astragalus"
"42","Athysanus"
"43","Atrichoseris"
"44","Atriplex"
"45","Baccharis"
"46","Bacopa"
"47","Baileya"
"48","Balsamorhiza"
"49","Barbarea"
"50","Beckmannia"
"51","Benitoa"
"52","Berberis"
"53","Bergia"
"54","Berula"
"55","Bidens"
"56","Blennosperma"
"57","Blepharizonia"
"58","Bloomeria"
"59","Boechera"
"60","Boerhavia"
"61","Bolboschoenus"
"62","Bouteloua"
"63","Bowlesia"
"64","Brasenia"
"65","Brickellia"
"66","Brodiaea"
"67","Bromus"
"68","Bursera"
"69","Calamagrostis"
"70","California"
"71","Calochortus"
"72","Calycadenia"
"73","Calycoseris"
"74","Calystegia"
"75","Campanula"
"76","Cardamine"
"77","Carex"
"78","Castilleja"
"79","Caulanthus"
"80","Ceanothus"
"81","Cephalanthus"
"82","Ceratophyllum"
"83","Cercis"
"84","Cercocarpus"
"85","Chaenactis"
"86","Chamaebatia"
"87","Chamaesaracha"
"88","Chenopodium"
"89","Chlorogalum"
"90","Chorizanthe"
"91","Chrysothamnus"
"92","Cicuta"
"93","Cirsium"
"94","Clarkia"
"95","Claytonia"
"96","Clematis"
"97","Cleomella"
"98","Cneoridium"
"99","Collinsia"
"100","Collomia"
"101","Cordylanthus"
"102","Corethrogyne"
"103","Cornus"
"104","Crassula"
"105","Cressa"
"106","Crocidium"
"107","Crossosoma"
"108","Croton"
"109","Cryptantha"
"110","Cucurbita"
"111","Cuscuta"
"112","Cylindropuntia"
"113","Cymopterus"
"114","Cyperus"
"115","Dalea"
"116","Danthonia"
"117","Datisca"
"118","Datura"
"119","Daucus"
"120","Deinandra"
"121","Delphinium"
"122","Dendromecon"
"123","Deschampsia"
"124","Descurainia"
"125","Dichelostemma"
"126","Dieteria"
"127","Distichlis"
"128","Ditaxis"
"129","Downingia"
"130","Draba"
"131","Drymocallis"
"132","Dudleya"
"133","Eastwoodia"
"134","Echinocereus"
"135","Echinodorus"
"136","Eclipta"
"137","Ehrendorferia"
"138","Elatine"
"139","Eleocharis"
"140","Elodea"
"141","Elymus"
"142","Encelia"
"143","Enceliopsis"
"144","Ephedra"
"145","Epilobium"
"146","Eragrostis"
"147","Eremalche"
"148","Eremogone"
"149","Eriastrum"
"150","Ericameria"
"151","Erigeron"
"152","Eriodictyon"
"153","Eriogonum"
"154","Eriophyllum"
"155","Erodium"
"156","Eryngium"
"157","Erysimum"
"158","Erythronium"
"159","Eschscholzia"
"160","Eucnide"
"161","Euphorbia"
"162","Eurybia"
"163","Euthamia"
"164","Fagonia"
"165","Ferocactus"
"166","Festuca"
"167","Frangula"
"168","Frankenia"
"169","Fremontodendron"
"170","Fritillaria"
"171","Galium"
"172","Garrya"
"173","Geraea"
"174","Geranium"
"175","Gilia"
"176","Glycyrrhiza"
"177","Gnaphalium"
"178","Gratiola"
"179","Grayia"
"180","Grindelia"
"181","Gutierrezia"
"182","Harmonia"
"183","Harpagonella"
"184","Hazardia"
"185","Helenium"
"186","Helianthus"
"187","Hesperevax"
"188","Hesperocallis"
"189","Hesperocnide"
"190","Hesperocyparis"
"191","Hesperolinon"
"192","Heteranthera"
"193","Heterocodon"
"194","Heteromeles"
"195","Heterotheca"
"196","Heuchera"
"197","Hilaria"
"198","Hippuris"
"199","Hoffmannseggia"
"200","Hoita"
"201","Hollisteria"
"202","Holocarpha"
"203","Holozonia"
"204","Hordeum"
"205","Horkelia"
"206","Hulsea"
"207","Hydrocotyle"
"208","Hymenoxys"
"209","Hypericum"
"210","Ipomopsis"
"211","Iris"
"212","Isocoma"
"213","Jepsonia"
"214","Juglans"
"215","Juncus"
"216","Juniperus"
"217","Keckiella"
"218","Lactuca"
"219","Laennecia"
"220","Lagophylla"
"221","Landoltia"
"222","Langloisia"
"223","Larrea"
"224","Lastarriaea"
"225","Lasthenia"
"226","Lathyrus"
"227","Layia"
"228","Leersia"
"229","Lemna"
"230","Lepechinia"
"231","Lepidium"
"232","Leptosiphon"
"233","Lessingia"
"234","Lewisia"
"235","Lilaeopsis"
"236","Lilium"
"237","Limnanthes"
"238","Limosella"
"239","Linanthus"
"240","Lipocarpha"
"241","Lithophragma"
"242","Loeseliastrum"
"243","Lomatium"
"244","Lonicera"
"245","Ludwigia"
"246","Lupinus"
"247","Luzula"
"248","Lycium"
"249","Lycopus"
"250","Lyrocarpa"
"251","Machaeranthera"
"252","Madia"
"253","Malacothrix"
"254","Mammillaria"
"255","Marah"
"256","Marina"
"257","Matricaria"
"258","Melica"
"259","Menodora"
"260","Mentha"
"261","Mentzelia"
"262","Micranthes"
"263","Micropus"
"264","Microseris"
"265","Microsteris"
"266","Mirabilis"
"267","Monardella"
"268","Monolopia"
"269","Monoptilon"
"270","Montia"
"271","Muhlenbergia"
"272","Muilla"
"273","Myosurus"
"274","Myriophyllum"
"275","Najas"
"276","Nama"
"277","Nasturtium"
"278","Navarretia"
"279","Nemophila"
"280","Neostapfia"
"281","Nicolletia"
"282","Nicotiana"
"283","Nitrophila"
"284","Nolina"
"285","Odontostomum"
"286","Oemleria"
"287","Oenanthe"
"288","Oligomeris"
"289","Opuntia"
"290","Orcuttia"
"291","Osmadenia"
"292","Osmorhiza"
"293","Packera"
"294","Paeonia"
"295","Palafoxia"
"296","Panicum"
"297","Papaver"
"298","Parietaria"
"299","Paspalum"
"300","Pectocarya"
"301","Pedicularis"
"302","Pediomelum"
"303","Penstemon"
"304","Pentachaeta"
"305","Perideridia"
"306","Perityle"
"307","Persicaria"
"308","Petalonyx"
"309","Petrophytum"
"310","Peucephyllum"
"311","Phacelia"
"312","Phalaris"
"313","Philadelphus"
"314","Pholisma"
"315","Pholistoma"
"316","Phoradendron"
"317","Phragmites"
"318","Phyla"
"319","Physocarpus"
"320","Pinus"
"321","Plagiobothrys"
"322","Plantago"
"323","Platanus"
"324","Platystemon"
"325","Plectritis"
"326","Pleurocoronis"
"327","Pluchea"
"328","Pogogyne"
"329","Polycarpon"
"330","Populus"
"331","Porophyllum"
"332","Potamogeton"
"333","Potentilla"
"334","Prenanthella"
"335","Prunus"
"336","Psathyrotes"
"337","Pseudognaphalium"
"338","Pseudotsuga"
"339","Psilocarphus"
"340","Psilostrophe"
"341","Psorothamnus"
"342","Pterostegia"
"343","Puccinellia"
"344","Purshia"
"345","Quercus"
"346","Rafinesquia"
"347","Ranunculus"
"348","Rhamnus"
"349","Rhododendron"
"350","Rhus"
"351","Rhynchospora"
"352","Ribes"
"353","Rigiopappus"
"354","Romanzoffia"
"355","Rorippa"
"356","Rosa"
"357","Rotala"
"358","Rubus"
"359","Rupertia"
"360","Ruppia"
"361","Sagina"
"362","Sagittaria"
"363","Salix"
"364","Saltugilia"
"365","Salvia"
"366","Sambucus"
"367","Sanicula"
"368","Schoenoplectus"
"369","Schoenus"
"370","Scirpus"
"371","Scrophularia"
"372","Sedella"
"373","Sedum"
"374","Senecio"
"375","Senna"
"376","Sesuvium"
"377","Setaria"
"378","Sibara"
"379","Silene"
"380","Simmondsia"
"381","Sisyrinchium"
"382","Sium"
"383","Smilax"
"384","Solanum"
"385","Solidago"
"386","Sparganium"
"387","Spergularia"
"388","Sphaeralcea"
"389","Sphenopholis"
"390","Spiranthes"
"391","Sporobolus"
"392","Stanleya"
"393","Stellaria"
"394","Stemodia"
"395","Stephanomeria"
"396","Stillingia"
"397","Streptanthella"
"398","Streptanthus"
"399","Stuckenia"
"400","Stylocline"
"401","Suaeda"
"402","Symphoricarpos"
"403","Symphyotrichum"
"404","Syntrichopappus"
"405","Tauschia"
"406","Tetracoccus"
"407","Tetradymia"
"408","Thalictrum"
"409","Thamnosma"
"410","Thysanocarpus"
"411","Tiquilia"
"412","Toxicodendron"
"413","Toxicoscordion"
"414","Tracyina"
"415","Trianthema"
"416","Tricardia"
"417","Trifolium"
"418","Triglochin"
"419","Trillium"
"420","Triphysaria"
"421","Triteleia"
"422","Tropidocarpum"
"423","Tuctoria"
"424","Typha"
"425","Umbellularia"
"426","Uropappus"
"427","Urtica"
"428","Utricularia"
"429","Verbena"
"430","Veronica"
"431","Viburnum"
"432","Viola"
"433","Vitis"
"434","Washingtonia"
"435","Wolffia"
"436","Wolffiella"
"437","Wyethia"
"438","Xanthisma"
"439","Xylococcus"
"440","Yabea"
"441","Yucca"
"442","Zannichellia"
