,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32
0.5,0.051549995337,0.313826835572548,0.3822710056907073,0.5906395355748751,0.7026280774598754,0.7801162319293393,0.8765946653626694,0.9304643833574177,0.9675527481510016,0.9886964606538714,1.0875122933132666,1.0994399292013108,1.125058547969873,1.1558695837445458,1.21145652775167,1.26862131092363
1,0.05939925789,0.33013929178179635,0.48708155250035434,0.6342468966013824,0.7818383312340021,0.8438220796468782,0.9107646356867258,0.9773959432399708,1.0086399032014604,1.0618914692785146,1.1022367213147992,1.1264042316097365,1.1423355253963143,1.1788030470191744,1.2124816502008835,1.26862131092363
1.5,0.07448883364292,0.364767383028345,0.5323640858884731,0.7027589439307225,0.8335771835273836,0.8872041730646233,0.9256606299196566,0.9939885251942465,1.025887928226321,1.074610162611338,1.119134258333078,1.1327993427789107,1.1583262162140295,1.1860169273933796,1.2124844251038,1.26862131092363
2,0.0764281918799998,0.3755212533133997,0.572797128960309,0.7680013343990845,0.8455427652024016,0.9028267787191786,0.9570350301215126,1.009705494881372,1.05313355563015,1.0876124168673664,1.1237684340599414,1.1366815894957942,1.1637468024583248,1.188360472418466,1.2132098875711312,1.26862131092363
2.5,0.0765675025399999,0.3947102429865003,0.6036745698953366,0.7970391554451548,0.8760135819188015,0.9348895818798924,0.9815067659132815,1.0414085942522389,1.0676637036325263,1.0994978704881666,1.1322963569754165,1.1417419635987982,1.1730011473359658,1.1938023356336473,1.21392329486637,1.26862131092363
5,0.127215114174,0.5358158818397334,0.8220254352138334,0.892731374620911,0.9365474080692012,0.9967733053190686,1.0514180937798419,1.0743586641709937,1.114819217027805,1.1316192140836896,1.154131437649448,1.1631800553326666,1.1919669694813806,1.2009237105209654,1.216083986910716,1.26862131092363
10,0.29080450176,0.6311849125613997,0.9547465518592667,1.004756215031105,1.0534602172814391,1.087560518697876,1.0987536370466482,1.137392469996954,1.167566243636064,1.169708430500697,1.1851950767855388,1.194906694140049,1.21247363923132,1.220638553547259,1.22746886697087,1.26862131092363
25,0.68998772035,1.11808347338383,1.1248591045721699,1.1855158621575725,1.1925155451448726,1.202154817728825,1.2026754709462024,1.2150271037471476,1.2273964464433,1.2290483160394126,1.23565162076416,1.23884604017605,1.2411919894707475,1.244981963753495,1.2553180014319776,1.26862131092363
75,1.9943216595625,1.50013262735504,1.435423611926765,1.4022785322703124,1.381379878423995,1.3654997349339124,1.3558803511039599,1.34053813059164,1.33335461419946,1.3256218656763075,1.3131427546878727,1.3091021370828375,1.3016810525897926,1.290438364973095,1.2907810404950775,1.26862131092363
90,2.093179559129,1.596288221079047,1.49021319973097,1.446989734210921,1.419552808399917,1.398785998407633,1.390513182070122,1.375410207917626,1.367316632349827,1.354970077214014,1.3411624810680378,1.332238059951776,1.32014338744655,1.307591960351199,1.298085822670631,1.26862131092363
97.5,2.120953057337,1.6650466927897218,1.5303356622299966,1.4779135639185648,1.4481072300721487,1.4218440464969144,1.4139387773110736,1.3996952567548362,1.3888495117397828,1.377856446122016,1.3629285307574126,1.3498070472367933,1.3390079639263994,1.3217142481444366,1.300465293789142,1.26862131092363
98,2.125197996957,1.66621407131666,1.5354810606556133,1.4802194389879328,1.4498001766032855,1.423353004184001,1.4153841345622624,1.401768337966119,1.392903058241013,1.3799771063988802,1.3641308156970278,1.3510591881936918,1.3417484226032974,1.3231190045161245,1.300539068255622,1.26862131092363
98.5,2.126596613092,1.6707163791293675,1.53790403211087,1.4858715790310548,1.451566198573896,1.4272750531342797,1.4167441112921253,1.4033822759959838,1.3941102217343457,1.3809280960604784,1.3661591275356133,1.352858976540735,1.3439539222281582,1.325170736446933,1.30057299465929,1.26862131092363
99,2.130532616231,1.682130103583555,1.5422248375587535,1.4888967737856493,1.4587876256149999,1.433532414134122,1.4179069268274052,1.4076611180749343,1.3972694550760356,1.384072479392058,1.369820309788334,1.3557037669913634,1.3457437906388112,1.3257977139888355,1.3005777807507752,1.26862131092363
99.5,2.133233400129,1.6855914738706224,1.551134930465665,1.49352662534334,1.462084653850815,1.4394353127049961,1.4245613340364203,1.4128840514991174,1.4014556505785163,1.3869471124424406,1.3722588487724106,1.3585501377964606,1.3471845130722042,1.3277534382859129,1.3006210040350634,1.26862131092363
Median,1.26307070902,1.3477168853140848,1.3420586825899998,1.322710197707195,1.303066201204135,1.2978693516665452,1.2923541443008002,1.28767098588355,1.2867044861681651,1.2830575552665602,1.27893771802908,1.27653820404778,1.27699158019727,1.270367061749735,1.2679652210188,1.26862131092363
Mean,1.269296010304434,1.247415524709412,1.2656184682243115,1.2688600238581424,1.2657956436719835,1.266690982425568,1.2664069431644898,1.2674641236988808,1.2721369709869077,1.2707362877484156,1.270314863231992,1.2694155212469336,1.2703914823776858,1.2661121429066728,1.2684628704400491,1.2686213109236297
