,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200
0.5,58.04387857411113,66.79332005485715,68.49640545939478,74.5086554077333,78.22846116100001,77.04187945257138,81.16886114719232,83.07115586252529,81.96935294033064,84.44149545275422,84.90857318651696,86.64842042665869,86.67767802844307,88.1607300717333,87.96015101803481,88.48714902556019,89.31517697759297,89.0896060705487,89.3258952045293,89.41509560890475,90.55617545642451,90.79206885486042,91.39136533428646,92.00666438753551,92.15795956771017,91.91811038809725,91.6040806437497,92.62902172406706,93.12839076460317,93.13463467473568,93.07069275954755,93.88434566722908,94.1490771988583,94.28302574035665,94.50965318797147,95.00213122169686,95.3969921559925,95.82314405632192,96.320156520497
1,61.94476305933339,70.96414835390476,71.69005305889473,77.1510839017333,80.86716049445981,80.38160361505885,83.68042894887182,84.7713657390303,84.78600513908567,86.5023250108148,86.84135007314691,87.41468716368274,87.38059218000002,88.79397818670273,88.32302452755067,89.04808276630253,89.59842232190017,89.69855264699666,90.69103208483236,90.36689573470693,91.16082380417187,91.22059259019072,91.75999950930115,92.25638151055226,92.5829050274061,92.41136209883251,92.15901159915413,92.88419167428545,93.5873009770237,93.5321125164809,93.5404273252862,94.12349220934811,94.32399409398677,94.62427003571493,94.9149528182241,95.14650026006233,95.52408983385963,95.87093423446257,96.3765767552799
1.5,64.5274611818889,73.03790326999996,74.98217249660523,79.16901949903331,81.8005270081379,82.75961423255464,84.41250613782691,86.10689476978786,86.12625618014691,87.07238139010103,87.85075803151413,87.66050763364905,88.63795602355482,89.32024967478559,89.36702457411546,89.98000773423813,90.16419130915106,90.3430496697783,91.27561438071315,91.39045364085716,91.50122302462549,91.6393666487078,92.08469601976118,92.6186327716787,92.84761055231243,92.58612658011721,92.39266177439264,93.14792445494736,93.90071849883981,93.74004894064603,93.83377244085615,94.3364662911175,94.50989504202226,94.69953918817933,95.10618376040561,95.2337509184483,95.61308383711363,95.95903539801107,96.38979339621287
2,65.90517793155554,74.1018817870476,76.82378713252629,80.42863722106664,82.27752391131031,83.28731684665543,85.1477971395385,87.40856400581822,86.45714922607351,87.7287550233535,88.5229529341582,88.66426247176922,89.37914643975982,89.59602562992437,89.81188579560757,90.20048086262189,90.60685147189508,90.6294055646764,91.42157313177377,91.61221193904765,91.88541344118099,91.98661979529516,92.44151099696079,92.79869241255746,93.0543323637662,92.9535102327783,92.83100210523943,93.51380545142143,94.06419961338163,93.93684042697274,93.9372091096604,94.42158308078045,94.64953912953014,94.80352431160595,95.22448557314216,95.30537525623036,95.67565673888829,96.02679582018082,96.40375405858188
2.5,66.93492061555553,75.80976524761901,77.54512594868419,81.34714289816664,82.79189580724139,84.00757392588235,85.5421455297756,87.61870197449497,87.24882278383677,88.23366037797982,88.86911962545196,89.12036085754809,89.68791591661486,89.82119449192793,90.16279639776108,90.56734036435579,91.29581406053684,91.26466874363942,91.66145673812116,91.6851731754945,91.9986818505254,92.21137008560645,92.58890216513657,93.03672301810327,93.25330965725401,93.1626108285351,93.06995067303183,93.80231046339081,94.16380612606712,94.20041585838707,94.14691644064665,94.65052471911312,94.72341014835538,94.95931115599011,95.28719158668221,95.41178575044069,95.71822699155246,96.0620848239995,96.42038979128388
5,72.0365061488889,80.52263185809525,80.95868536684209,84.9396127136667,84.96039966666667,87.02027079327735,86.99666806282052,89.33734133272729,89.02514168636736,89.64182294430975,90.24928808265538,90.59668732975959,91.1669023030642,91.03221004893696,90.97143421276901,91.49315162212885,92.27316773139827,92.12302619937292,92.43377382835355,92.47980940298535,92.78632655428689,93.17579069971018,93.22677159804624,93.63202399479997,93.65593285379845,93.73942365010505,93.85616652940388,94.26696467220309,94.48700743392837,94.60812703786341,94.6967819343003,94.9838293823429,95.1848273824574,95.27922799628242,95.58452762303541,95.73804234991775,95.96657761823721,96.20414860310338,96.56959010911055
10,79.5178384733333,84.89438305142862,85.01425508052631,88.6296455126667,88.15002227770114,89.41561456605044,89.22575287397439,91.23918563737371,91.0272704897143,91.6205069830303,92.18977369587567,92.19423386942304,92.58353122625255,92.36849978839639,92.38835725664558,93.08924626969186,93.30779528531838,93.32505434741321,93.57486764614137,93.76239117981682,93.87069727492914,94.22010054800911,94.2204953515686,94.41669966369031,94.53668215898627,94.6078031335766,94.66899915255907,94.94517543544058,95.15678643820131,95.29903498367821,95.10854218502355,95.47442402784922,95.6034192377515,95.72466137175702,95.93380810640593,96.11809091850768,96.20711967179055,96.40625717140891,96.70934942729147
25,89.87618912222223,91.35326028571428,92.2134865289474,93.51981072499997,93.07870678448275,93.94796196386555,93.82542616987178,94.43165545050502,94.00202610469387,94.5131434875421,94.90824541101695,94.67746624374999,94.72948344068323,94.67023553891893,94.7461487753165,95.033246997479,95.29267089194752,95.42100482082866,95.5614458920202,95.31168916217948,95.48504296872397,95.73693614713957,95.66951681484598,95.82298372838713,95.78513636264161,95.9304807699281,95.83647576297535,95.9262055225096,96.0664141903132,96.26909108022622,96.12476022843946,96.2801526478936,96.33091039698922,96.46908259152707,96.46582528502483,96.6471188001175,96.63184717335,96.76263011464445,96.83516095672107
75,106.2854963555555,104.62093327619024,103.435734213158,102.326711996667,101.76822876379325,101.34572489411725,101.11250603621825,100.8905549954545,100.3019760155105,100.294569204714,100.36387421779675,99.87246845024038,99.58493166356108,99.3734286563964,99.17215441803799,99.37945391372548,99.44611665349561,99.09626723124302,99.05635388767672,98.88620967793045,98.74089898690578,99.07144745446223,98.63546898956582,98.60064192535482,98.44137618413833,98.3956883495854,98.27395442358687,98.17853098036397,98.16496844798655,98.13147283255132,97.96785092678854,98.03699885776058,97.89165556550647,97.86327759983583,97.7944495517225,97.7301473636016,97.60233282255635,97.51716887123975,97.47279478097994
90,111.4529658622223,108.54239270666639,106.8248480057896,106.2151615293333,105.0952149517237,104.0945388141177,103.85057699846129,103.2781488222218,102.8644638520004,102.4725079776432,102.5159464744068,101.9776686892308,101.7615617842235,101.27612802976539,101.10490266556941,101.0686416723251,101.0353752201994,100.6200798325642,100.4513702306057,100.3754037964471,99.99535618877402,100.33441135728471,99.8433292712605,99.81099708260649,99.51924612847945,99.36035295679383,99.2611588051079,99.03954330090042,99.177239639132,98.94860807817341,98.80760886297168,98.80388805485589,98.59418142919591,98.4925501818851,98.3832335328616,98.17977017351348,98.03181565218607,97.8414245062543,97.58177370045229
97.5,115.18672004666676,112.202936879048,109.9537976636838,109.09601101316667,107.2531646701153,106.82587225512624,106.57425231121813,105.74952840151549,105.27895537999952,104.70990499824957,104.83366788974563,103.88866436406228,103.61428760711227,103.60437362452217,103.14349780390853,102.8738079963585,102.73361761194802,102.18686927989884,102.0437194254902,101.66039430456922,101.541611612031,101.61792310890903,101.06312202503167,101.10440852736093,100.8192476048811,100.81052363566052,100.48888661578353,100.0693235326724,99.99795870572262,99.72367631351908,99.58488261649372,99.65887337713227,99.29550599033762,99.18259435888339,98.93291904231847,98.73441355950943,98.44419161479257,98.20103776646312,97.9068359063078
98,115.46728245244456,112.89002630933342,110.50697002368452,109.307412461333,107.5699327495177,107.22899596174754,106.8448591962307,106.10568688767658,105.56241822977988,104.928744075609,105.16585742282463,104.21950174042337,103.75832624481185,103.7595896281658,103.48878530663245,103.0938340811317,103.03640067913074,102.49237103492052,102.15687493199555,102.0266243916992,101.82832608903038,101.72851262046707,101.4254071436471,101.25037680333432,100.96834839820914,100.90466675406108,100.64785651852668,100.23788228937939,100.05274532603502,99.89843679207034,99.73839012334122,99.75593138942206,99.34919679283534,99.23740217155468,99.02334012298948,98.80769695474731,98.49892693409075,98.22473810851915,97.91427289633971
98.5,115.62772069311133,113.28443490676156,111.06729409628947,109.81731062099999,108.07004371490804,107.54228210998363,107.16095896022485,106.38258950048453,105.83534000053467,105.45719550542063,105.51677353829369,104.49675747428853,104.21311595290847,104.18708372483982,103.6433895528874,103.44477377264681,103.15625458689651,102.68072776019038,102.36748246551919,102.25272530776391,102.13265433002668,101.79886371936419,101.57299089008308,101.520812119834,101.09046280957824,101.01921182895498,100.75858625632732,100.35296082905857,100.17309644131346,99.96395140065685,99.97096245307779,99.9648241966208,99.40731789909742,99.30598018384299,99.1160575116024,98.86867853179788,98.59619749568225,98.24548739679408,97.92670347318295
99,117.12677592022266,113.50547534876215,111.57678360510546,110.700333128333,109.02025194340258,107.7898439066886,107.60868940894844,107.25452707557602,106.22749958694706,105.76794559546119,105.89671490563316,104.75233395540391,104.53043403262525,104.58802363709513,104.30651902810719,103.75267270444812,103.40790740687858,102.9092127132677,102.87210287805065,102.45124284486789,102.37780368667066,102.09426722110747,101.99882079066343,101.89835302756906,101.25135788146697,101.10454957040568,100.91374995713865,100.55343866133518,100.45322401503024,100.51712780237318,100.1722522376679,100.11891895357152,99.51154765401529,99.42207804224235,99.29614191306892,98.92876104576379,98.78667687971544,98.33517887723707,97.94484578598997
99.5,117.80560251266621,114.240790014381,112.83085432721042,111.54818492353367,109.54541063586207,108.986105860639,108.56107415671126,108.17392815993895,106.89889766163628,106.68528748909752,106.48466564635635,105.11556191251893,105.0939475484263,104.97633595396371,105.08566498411248,104.0652357741229,103.48217310318068,103.61047107813637,103.09805617414956,102.67846780524211,102.85254596143115,102.52767752192102,102.25227770967318,102.17167907529951,101.49668931487756,101.36637419208228,101.10751947488242,100.78566644271598,100.76042571460327,100.86602120410546,100.33877339625573,100.38773336347337,99.84534495955585,99.71953058149356,99.38414627294533,99.06780397918277,98.96940864553521,98.4438864230082,97.94706348828244
Median,99.14506321111111,98.8720900190476,98.12901149210525,98.26303321333336,97.7559986172414,97.68875123193276,97.4782426102564,97.86949472020206,97.26651307795915,97.6973849050505,97.91610918983051,97.4211810793269,97.2860586254658,97.19869997405405,97.1256918892405,97.2874555296919,97.52196238426964,97.3981345050392,97.28137117363634,97.2074724855311,97.1814619924103,97.37868214736845,97.2440645719888,97.2158456687742,97.15488013834225,97.2219075804312,97.15814715503595,97.06364853975094,97.1482316162416,97.2313775967323,97.0634849648585,97.1972578308943,97.15981137257225,97.1784634502463,97.1426223702359,97.17642243202116,97.14050996098581,97.12643602595824,97.15756041326635
Mean,96.88573545491111,97.48661682422858,97.1071996537,97.53511662879333,97.05977392882068,97.18257036861849,97.14693253314616,97.4921790820788,97.00334157595184,97.28778523591919,97.53669536338926,97.16306618895,97.11783677025466,97.02528622891748,96.90337719049114,97.12064080815182,97.31693914862322,97.17699840095678,97.1693539143481,97.0528496438392,97.06944192538366,97.2957047512897,97.10167843374383,97.19669189946994,97.0874439100353,97.09703436245795,97.03123930611767,97.00657813155956,97.1343100418025,97.16175042622622,97.01790678365722,97.16209712967539,97.11348318042326,97.15075501119237,97.13880318236251,97.16299187097462,97.12160165150398,97.13733679923828,97.16320248818604
